date,year,petition,latitude,longitude,streetaddress,city,state,zip
1998-11-06 00:00:00+00,1998,X001-04X,37.78632359,-122.411845,405 Taylor Street,San Francisco,CA,94102
1998-05-20 00:00:00+00,1998,S001-15X,37.77351275,-122.4255,293 Page Street,San Francisco,CA,94102
1998-07-15 00:00:00+00,1998,T001-04X,37.77443877,-122.4287906,526 Oak Street,San Francisco,CA,94102
1998-09-11 00:00:00+00,1998,V001-07X,37.77338367,-122.4240488,131 Octavia Street,San Francisco,CA,94102
1998-09-11 00:00:00+00,1998,V001-07X,37.77328354,-122.424267,129 Octavia Street,San Francisco,CA,94102
1999-05-07 00:00:00+00,1999,L990912,37.76702083,-122.4334566,126 Noe Street,San Francisco,CA,94102
1999-05-07 00:00:00+00,1999,L990912,37.76698817,-122.4334535,128 Noe Street,San Francisco,CA,94102
2000-04-07 00:00:00+00,2000,L2K0705,37.77350488,-122.4259425,307 Page Street,San Francisco,CA,94102
2000-05-01 00:00:00+00,2000,L2K0860,37.77657395,-122.4269163,632 Hayes Street,San Francisco,CA,94102
2000-05-19 00:00:00+00,2000,L2K1044,37.74627005,-122.4185155,24 Coso Avenue,San Francisco,CA,94102
2000-05-01 00:00:00+00,2000,L2K0860,37.77648019,-122.4268497,634 Hayes Street,San Francisco,CA,94102
2000-06-28 00:00:00+00,2000,L2K1354,37.77478249,-122.4260936,400 Oak Street,San Francisco,CA,94102
2000-09-20 00:00:00+00,2000,L2K2009,37.77162994,-122.4246774,67 Waller Street,San Francisco,CA,94102
2000-05-19 00:00:00+00,2000,L2K1044,37.74646,-122.4182446,26 Coso Avenue,San Francisco,CA,94102
2000-08-09 00:00:00+00,2000,L2K1757,37.77215778,-122.4161974,1559 Howard Street,San Francisco,CA,94102
2000-09-20 00:00:00+00,2000,L2K2009,37.77177033,-122.4248041,69 Waller Street,San Francisco,CA,94102
2001-03-08 00:00:00+00,2001,L010460,37.77374235,-122.4243858,221 Page Street,San Francisco,CA,94102
2001-03-08 00:00:00+00,2001,L010460,37.77373812,-122.424419,223 Page Street,San Francisco,CA,94102
2001-03-08 00:00:00+00,2001,L010460,37.77374657,-122.4243527,219 Page Street,San Francisco,CA,94102
2004-06-03 00:00:00+00,2004,L040705,37.77348466,-122.4240813,206 Rose Street,San Francisco,CA,94102
2004-06-03 00:00:00+00,2004,L040705,37.77348043,-122.4241145,208 Rose Street,San Francisco,CA,94102
2005-09-12 00:00:00+00,2005,L051116,37.77630412,-122.4282319,718 Hayes Street,San Francisco,CA,94102
2005-09-12 00:00:00+00,2005,L051116,37.77629988,-122.428265,720 Hayes Street,San Francisco,CA,94102
2005-09-12 00:00:00+00,2005,L051116,37.77642646,-122.4283443,716 Hayes Street,San Francisco,CA,94102
2006-02-13 00:00:00+00,2006,L060194,37.77438068,-122.4268898,461 Oak Street,San Francisco,CA,94102
2007-11-30 00:00:00+00,2007,L071833,37.77410283,-122.4282249,543 Oak Street,San Francisco,CA,94102
2008-05-01 00:00:00+00,2008,L080680,37.79267432,-122.4135474,1250 Sacramento Street,San Francisco,CA,94102
2008-03-14 00:00:00+00,2008,L080348,37.780793,-122.417576,438 Buchanan Street,San Francisco,CA,94102
2008-03-14 00:00:00+00,2008,L080348,37.780793,-122.417576,436 Buchanan Street,San Francisco,CA,94102